Município,Obras não-entregues,Obras entregues,Total de Obras,Taxa de Obras Não Entregues
São Paulo,82,20,102,80.39
Franco da Rocha,25,2,27,92.59
Santana de Parnaíba,21,0,21,100
Taquaritinga,18,0,18,100
Americana,17,0,17,100
Jundiaí,17,1,18,94.44
Barretos,16,0,16,100
Guarujá,16,2,18,88.89
Campinas,14,0,14,100
Boituva,13,3,16,81.25
Carapicuíba,13,2,15,86.67
Cerqueira César,13,1,14,92.86
Pirassununga,13,2,15,86.67
Guarulhos,12,1,13,92.31
Holambra,12,0,12,100
Jarinu,12,0,12,100
Taubaté,12,0,12,100
Bragança Paulista,11,3,14,78.57
Itanhaém,11,1,12,91.67
Amparo,10,5,15,66.67
Artur Nogueira,10,0,10,100
Cândido Mota,10,0,10,100
Eldorado,10,0,10,100
Itápolis,10,0,10,100
Ribeirão Preto,10,3,13,76.92
Salesópolis,10,0,10,100
Torrinha,10,0,10,100
Bebedouro,9,0,9,100
Caçapava,9,0,9,100
Francisco Morato,9,0,9,100
Limeira,9,5,14,64.29
Osasco,9,0,9,100
Presidente Prudente,9,2,11,81.82
São Bernardo do Campo,9,1,10,90
São Carlos,9,0,9,100
Birigui,8,3,11,72.73
Bofete,8,0,8,100
Ferraz de Vasconcelos,8,0,8,100
Ibirá,8,1,9,88.89
Mauá,8,0,8,100
Monte Mor,8,0,8,100
Paranapanema,8,0,8,100
Ribeirão Pires,8,3,11,72.73
Santo André,8,1,9,88.89
Caraguatatuba,7,0,7,100
Ibitinga,7,0,7,100
Ilhabela,7,0,7,100
Miracatu,7,0,7,100
Mogi Guaçu,7,1,8,87.5
Penápolis,7,4,11,63.64
Rancharia,7,1,8,87.5
Registro,7,0,7,100
Rio Claro,7,1,8,87.5
Sertãozinho,7,4,11,63.64
Águas da Prata,6,3,9,66.67
Águas de Santa Bárbara,6,1,7,85.71
Agudos,6,0,6,100
Auriflama,6,0,6,100
Bauru,6,1,7,85.71
Campos do Jordão,6,0,6,100
Cosmópolis,6,0,6,100
General Salgado,6,0,6,100
Iperó,6,0,6,100
Itapecerica da Serra,6,3,9,66.67
Itaquaquecetuba,6,0,6,100
Jaboticabal,6,0,6,100
Jacareí,6,2,8,75
Mairinque,6,0,6,100
Matão,6,0,6,100
Monteiro Lobato,6,0,6,100
Porto Ferreira,6,2,8,75
Promissão,6,0,6,100
São Joaquim da Barra,6,0,6,100
São José do Barreiro,6,0,6,100
São José do Rio Preto,6,0,6,100
São Luís do Paraitinga,6,1,7,85.71
São Roque,6,0,6,100
São Vicente,6,0,6,100
Suzano,6,0,6,100
Tremembé,6,0,6,100
Tupã,6,0,6,100
Vinhedo,6,0,6,100
Votuporanga,6,1,7,85.71
Bananal,5,0,5,100
Espírito Santo do Pinhal,5,1,6,83.33
Iguape,5,1,6,83.33
Itapetininga,5,1,6,83.33
Itapeva,5,0,5,100
Lençóis Paulista,5,2,7,71.43
Lindóia,5,0,5,100
Miguelópolis,5,0,5,100
Peruíbe,5,0,5,100
Pindamonhangaba,5,0,5,100
Pontalinda,5,0,5,100
Santos,5,2,7,71.43
São Bento do Sapucaí,5,0,5,100
São Sebastião,5,0,5,100
Socorro,5,1,6,83.33
Sorocaba,5,0,5,100
Sumaré,5,0,5,100
Tatuí,5,0,5,100
Viradouro,5,0,5,100
Adamantina,4,1,5,80
Aparecida,4,0,4,100
Brotas,4,0,4,100
Caieiras,4,0,4,100
Cajamar,4,0,4,100
Campina do Monte Alegre,4,0,4,100
Campo Limpo Paulista,4,0,4,100
Diadema,4,0,4,100
Dois Córregos,4,5,9,44.44
Guaratinguetá,4,0,4,100
Guareí,4,0,4,100
Igarapava,4,1,5,80
Itararé,4,1,5,80
Jardinópolis,4,0,4,100
Juquiá,4,1,5,80
Lavínia,4,0,4,100
Lorena,4,0,4,100
Louveira,4,2,6,66.67
Monte Aprazível,4,0,4,100
Murutinga do Sul,4,0,4,100
Nuporanga,4,0,4,100
Olímpia,4,0,4,100
Panorama,4,0,4,100
Paulicéia,4,0,4,100
Paulistânia,4,0,4,100
Pitangueiras,4,2,6,66.67
Platina,4,0,4,100
Santa Bárbara d'Oeste,4,2,6,66.67
Santa Branca,4,0,4,100
Santo Antônio de Posse,4,0,4,100
Santo Antônio do Pinhal,4,0,4,100
Sarapuí,4,0,4,100
Taquarituba,4,1,5,80
Tarumã,4,0,4,100
Turmalina,4,0,4,100
Ubatuba,4,0,4,100
Águas de Lindóia,3,0,3,100
Andradina,3,0,3,100
Anhembi,3,0,3,100
Araçatuba,3,1,4,75
Atibaia,3,0,3,100
Avaí,3,0,3,100
Barbosa,3,0,3,100
Bocaina,3,0,3,100
Bom Jesus dos Perdões,3,0,3,100
Botucatu,3,0,3,100
Cafelândia,3,0,3,100
Caiuá,3,0,3,100
Cananéia,3,0,3,100
Castilho,3,0,3,100
Coronel Macedo,3,0,3,100
Cubatão,3,0,3,100
Duartina,3,0,3,100
Flórida Paulista,3,0,3,100
Florínia,3,0,3,100
Guaíra,3,0,3,100
Guararapes,3,2,5,60
Guatapará,3,0,3,100
Herculândia,3,0,3,100
Igaratá,3,0,3,100
Ipaussu,3,0,3,100
Itapuí,3,0,3,100
Itirapuã,3,0,3,100
Itu,3,2,5,60
Jaú,3,0,3,100
José Bonifácio,3,1,4,75
Juquitiba,3,0,3,100
Lagoinha,3,0,3,100
Mairiporã,3,0,3,100
Meridiano,3,1,4,75
Mirassol,3,0,3,100
Orlândia,3,0,3,100
Palmeira d'Oeste,3,0,3,100
Paraguaçu Paulista,3,0,3,100
Pedranópolis,3,0,3,100
Pilar do Sul,3,0,3,100
Pindorama,3,0,3,100
Piracaia,3,0,3,100
Pontal,3,0,3,100
Pratânia,3,0,3,100
Presidente Venceslau,3,0,3,100
Ribeirão Corrente,3,4,7,42.86
Riolândia,3,1,4,75
Sales,3,0,3,100
Salto,3,0,3,100
Santa Isabel,3,0,3,100
Santo Anastácio,3,0,3,100
São João do Pau d'Alho,3,1,4,75
São Pedro,3,1,4,75
Tabapuã,3,0,3,100
Taquarivaí,3,0,3,100
Tejupá,3,0,3,100
Tupi Paulista,3,0,3,100
Valinhos,3,0,3,100
Várzea Paulista,3,0,3,100
Aguaí,2,0,2,100
Alambari,2,0,2,100
Álvares Florence,2,0,2,100
Álvares Machado,2,0,2,100
Alvinlândia,2,0,2,100
Américo Brasiliense,2,1,3,66.67
Américo de Campos,2,0,2,100
Angatuba,2,0,2,100
Anhumas,2,0,2,100
Araçariguama,2,0,2,100
Araraquara,2,5,7,28.57
Arujá,2,0,2,100
Barra do Turvo,2,0,2,100
Biritiba-Mirim,2,0,2,100
Bom Sucesso de Itararé,2,1,3,66.67
Brodowski,2,0,2,100
Buri,2,2,4,50
Buritama,2,0,2,100
Cachoeira Paulista,2,0,2,100
Campos Novos Paulista,2,0,2,100
Capivari,2,1,3,66.67
Cardoso,2,1,3,66.67
Catanduva,2,1,3,66.67
Catiguá,2,0,2,100
Cosmorama,2,0,2,100
Dolcinópolis,2,0,2,100
Dracena,2,0,2,100
Euclides da Cunha Paulista,2,0,2,100
Fernando Prestes,2,0,2,100
Flora Rica,2,0,2,100
Franca,2,2,4,50
Gália,2,1,3,66.67
Guaimbê,2,0,2,100
Hortolândia,2,0,2,100
Icém,2,0,2,100
Igaraçu do Tietê,2,0,2,100
Indiaporã,2,0,2,100
Ipeúna,2,2,4,50
Ipuã,2,0,2,100
Iracemápolis,2,5,7,28.57
Itapira,2,0,2,100
Itatinga,2,0,2,100
Itirapina,2,0,2,100
Jambeiro,2,0,2,100
Jandira,2,12,14,14.29
Joanópolis,2,0,2,100
Laranjal Paulista,2,0,2,100
Lins,2,0,2,100
Luís Antônio,2,0,2,100
Marapoama,2,0,2,100
Marília,2,5,7,28.57
Mineiros do Tietê,2,2,4,50
Mirante do Paranapanema,2,0,2,100
Mogi Mirim,2,0,2,100
Mongaguá,2,0,2,100
Morro Agudo,2,0,2,100
Ocauçu,2,0,2,100
Ourinhos,2,1,3,66.67
Ouro Verde,2,0,2,100
Pacaembu,2,2,4,50
Palmital,2,2,4,50
Pereira Barreto,2,0,2,100
Piedade,2,2,4,50
Piquete,2,0,2,100
Piratininga,2,0,2,100
Pompéia,2,0,2,100
Potim,2,1,3,66.67
Quadra,2,0,2,100
Rafard,2,0,2,100
Regente Feijó,2,3,5,40
Ribeira,2,1,3,66.67
Sabino,2,0,2,100
Santa Albertina,2,0,2,100
Santa Cruz do Rio Pardo,2,0,2,100
Santa Rosa de Viterbo,2,1,3,66.67
Santo Antônio do Aracanguá,2,0,2,100
Santo Antônio do Jardim,2,0,2,100
São João da Boa Vista,2,0,2,100
São João de Iracema,2,0,2,100
São Lourenço da Serra,2,0,2,100
São Manuel,2,0,2,100
Serra Azul,2,0,2,100
Taciba,2,0,2,100
Taiaçu,2,0,2,100
Taiúva,2,0,2,100
Tambaú,2,1,3,66.67
Tanabi,2,0,2,100
Tapiraí,2,0,2,100
Tapiratiba,2,0,2,100
Terra Roxa,2,0,2,100
Tietê,2,0,2,100
Torre de Pedra,2,0,2,100
Valentim Gentil,2,0,2,100
Valparaíso,2,0,2,100
Votorantim,2,0,2,100
