municipio,x
Agudos,381270.1699999998
Amparo,106983.54999999981
Aparecida,529471.8699999996
Araçoiaba da Serra,104834.39000000013
Atibaia,341154.85999999987
Barretos,220890.1499999999
Boituva,62229.46000000002
Botucatu,120913.83000000007
Caiuá,872580.1599999964
Cajamar,31642.71000000008
Cândido Mota,104601.8600000001
Caraguatatuba,144598798.22
Carapicuíba,295571.82000000007
Cerqueira César,2133681.950000001
Colina,515586.9700000002
Cravinhos,129040.1399999999
Diadema,114782.70999999996
Dirce Reis,30836.070000000065
Dolcinópolis,3815.859999999986
Dracena,27917.119999999995
Franco da Rocha,42662.359999999986
Guarujá,4629018.24
Guarulhos,8273148.979999997
Ilhabela,3067590.120000001
Iracemápolis,590756.1200000001
Itanhaém,1301380.56
Itapuí,60646.86999999988
Itirapina,723997.9299999997
Jardinópolis,107648.01000000071
José Bonifácio,228947.45999999996
Laranjal Paulista,0.01999999998952262
Lavínia,1592638.2799999937
Louveira,561999.5
Matão,38687.32999999996
Monte Aprazível,89756.33999999985
Novais,102385.18999999994
Olímpia,2914310.4399999976
Panorama,15704.210000000021
Peruíbe,93711.98999999953
Pirassununga,50316.8600000001
Porto Ferreira,92446.76000000001
Rafard,1840644.6300000008
Ribeirão Pires,30110.090000000084
Ribeirão Preto,97.10000000000582
Rio Claro,687271.69
Sales Oliveira,4219.840000000084
Santa Bárbara d'Oeste,68537.6000000001
São Bernardo do Campo,347775.299999997
São José do Rio Preto,910539.8099999996
São Paulo,428308102.3399998
São Vicente,525135.23
Sarapuí,232116.15999999992
Sumaré,374433.6200000001
Suzano,2975972.5100000016
Taiaçu,152802.08999999997
Tanabi,69151534.83
Taquaritinga,395481.1
Tatuí,234043.58000000007
Tupã,252050.5
Uchoa,83598.51000000001
Valentim Gentil,15556.199999999953
Vinhedo,19047.380000000005
