municipio_nome,situacao_obra,ambito,valor_inicial_contrato,valor_total_pago,contratada,cnpj_contratada,contratante,classificacao,data_paralisacao,descricao_obra,endereco,url_obra,data_prevista_conclusao
Adamantina,Atrasada,Municipal,314726.61,23567.23,T N OKA TECNOLOGIA E CONSTRUÇÕES LTDA - EPP,20.063.519/0001-26,PREFEITURA MUNICIPAL DE ADAMANTINA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,Construção de Unidade Básica de Saúde - Jardim Brasil,"	Rua Minas Gerais, s/n - Quadra 48 - Lotes 14 e 15 - Jardim Brasil",,20/10/2019
Adolfo,Atrasada,Municipal,242631.23,207056.99,TERRA FORTE BRASIL CONSTRUTORA LTDA,10.412.300/0001-31,PREFEITURA MUNICIPAL DE ADOLFO,"Mobilidade urbana - Pontes, viadutos e similares",Não informado,Construção dos Portais Turísticos e Implantação da Sinalização Turística.,Não informado,Não informado,20/11/2017
Aguaí,Atrasada,Estadual,7296695.77,464008.66,CONSTRUTORA VIASOL LTDA - EPP,12.049.132/0001-97,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,CH Aguaí G - cont 159/18 Execução de 128 UHs tipologia TI22A-01 e demais serviços,Não informado,Não informado,17/08/2021
Aguaí,Atrasada,Estadual,45385910.72,41701669.64,HELENO&FONSECA CONSTRUTÉCNICA S/A,61.573.184/0001-73,GABINETE DO SECRETARIO E ASSESSORIAS - SECRETARIA DA ADMINISTRACAO PENITENCIARIA,"Segurança pública (Delegacias, penitenciárias e similares)",Não informado,OBRAS E SERVIÇOS DE CONSTRUÇÃO DO CENTRO DE DETENÇÃO PROVISÓRIA DE AGUAI,RODOVIA PROFESSOR BOANERGES NOGUEIRA DE LIMA,,21/12/2016
Águas da Prata,Atrasada,Municipal,236301.79,0,MARQUES E MARQUES CONSTRUTORA LTDA - EPP,59.032.516/0001-60,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Execução de Praça de São Roque da Fartura,Não informado,Não informado,30/10/2018
Águas da Prata,Atrasada,Municipal,1083422.2,0,ASUS CONSTRUTORA E SERVIÇOS LTDA - ME,06.534.436/0001-47,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,Mobilidade urbana - vias urbanas,Não informado,Infraestrutura de Vias Públicas a acesso a Pontos Turísticos,Não informado,Não informado,28/04/2017
Águas da Prata,Atrasada,Municipal,304826.94,0,CABRELON E SETTE CONSTRUTORA LTDA - ME,11.409.424/0001-20,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,"Equipamento urbanos (praças, quadras e similares)",Não informado,"Execução de Revitalização do Lago, Reforma do Campo e Vestiários do Bairro da Fonte Platina",Não informado,Não informado,10/03/2017
Águas da Prata,Atrasada,Municipal,148818.41,0,CABRELON E SETTE CONSTRUTORA LTDA - ME,11.409.424/0001-20,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Aquisição de Bens Permanentes em Ginásio André Franco Montoro,Não informado,Não informado,27/10/2017
Águas da Prata,Atrasada,Municipal,128553.46,0,CABRELON E SETTE CONSTRUTORA LTDA - ME,11.409.424/0001-20,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Execução de Mirante em Águas da Prata,Não informado,Não informado,20/12/2012
Águas da Prata,Atrasada,Municipal,83364.06,0,CABRELON E SETTE CONSTRUTORA LTDA - ME,11.409.424/0001-20,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Execução de Reforma do Campo do Distrito de São Roque da Fartura,Não informado,Não informado,10/03/2017
Águas de Lindóia,Atrasada,Municipal,387484.2,285810.84,CONSTRUTORA J.G. LTDA ME,26.239.451/0001-70,PREFEITURA MUNICIPAL DE AGUAS DE LINDOIA,"Mobilidade urbana - Pontes, viadutos e similares",Não informado,RECUPERAÇÃO DA CASCALHEIRA MORRO PELADO,,"https://www.google.com/maps/@-22.4543751,-466120192.102m/data=!3m1!1e3",07/01/2019
