municipio_nome,situacao_obra,ambito,valor_inicial_contrato,valor_total_pago,contratada,cnpj_contratada,contratante,classificacao,data_paralisacao,descricao_obra,endereco,url_obra,data_prevista_conclusao
Adamantina,Paralisada,Municipal,1287134.1,703685.98,NOROESTE CONSTRUTUORA E SERVIÇOS DE TOPOGRAFIA LTDA,11.873.462/0001-30,PREFEITURA MUNICIPAL DE ADAMANTINA,Mobilidade urbana - vias urbanas,06/02/2019,Qualificação de vias urbanas através de pavimentação asfáltica e construção de galerias tipo aduela de concreto,Alameda Padre Nobrega,,10/02/2003
Adamantina,Paralisada,Municipal,346240.13,209331.76,CONSTRUTORA ROTOLI LTDA EPP,05.576.010/0001-93,PREFEITURA MUNICIPAL DE ADAMANTINA,Outros,31/10/2017,Implantação e modernização de infraestrutura esportiva- Construção de Sanitários e Vestiários,"RUA JOÃO CALDEIRA, PRAÇA VALDEMAR ROMANIN, JARDIM ADAMANTINA e AVENIDA DEPUTADO CUNHA BUENO, ESQUINA COM RUA JURUVA - SISTEMA DE LAZER PARQUE DOS CALDEIRAS",,31/10/2017
Adamantina,Paralisada,Municipal,3526457.53,644148.82,MUNDIAL ENGENHARIA SANTA FE LTDA – EPP,71.852.586/0001-60,CENTRO UNIVERSITARIO DE ADAMANTINA - UNIFAI,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"Construção do bloco V – medicina, campus II da UNIFAI, para abrigar salas de aulas e laboratórios.",Não informado,Não informado,08/01/2018
Águas de Lindóia,Paralisada,Municipal,386291.83,0,ESTEFANO & QUINTANILHA CONSTRUTORA LTDA,07.632.236/0001-90,PREFEITURA MUNICIPAL DE AGUAS DE LINDOIA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,Reforma das Escolas Creusa Mariano e Luiz Barbosa,,"https://www.google.com/maps/place/EMEF+Luiz+Barbosa/@-22.4827466,-465934901.18.5z/data=!4m5!3m4!1s0x94c913df66a12baf:0x75fc37b16b1660e6!8m2!3d-22.4828885!4d-46.5929797",03/08/2016
Águas de Santa Bárbara,Paralisada,Municipal,657818.75,447858.38,EMPREITEIRA ROCHA LTDA-ME,11.034.894/0001-57,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,"Equipamento urbanos (praças, quadras e similares)",22/03/2017,Execução de Obras de Reforma e Adequação da Ala Feminina do Balneário Mizael Marques Sobrinho,"Balneário Municipal ""Mizael Marques Sobrinho""",,21/01/2019
Águas de Santa Bárbara,Paralisada,Municipal,329895.15,318001.82,EMPREITEIRA ROCHA LTDA-ME,11.034.894/0001-57,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,"Equipamento urbanos (praças, quadras e similares)",26/04/2019,Construção de Restaurante e Reforma dos Sanitários e Melhorias no entorno da Prainha do Parque dos Lagos,Prainha do Parque dos Lagos,"https://www.google.com.br/maps/search/Prainha+do+Parque+dos+Lagos+%C3%81guas++de+Santa+B%C3%A1rbara+-+SP/@-22.8495168,-492409339.16z/data=!3m1!4b1?hl=pt-BR",24/05/2016
Águas de Santa Bárbara,Paralisada,Municipal,251123.31,18034.16,EMPREITEIRA ROCHA LTDA-ME,11.034.894/0001-57,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,"Equipamento urbanos (praças, quadras e similares)",12/11/2018,Reforma de 2 Fontes no Balneário Municipal Mizael Marques Sobrinho,"Balneário Municipal ""Mizael Marques Sobrinho""",,24/05/2019
Águas de Santa Bárbara,Paralisada,Municipal,106879.85,21490.91,EMPREITEIRA ROCHA LTDA-ME,11.034.894/0001-57,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",02/09/2016,Reforma e Adequação do ESF Unidade do Parque dos Lagos,"Av. Parque dos Lagos,",,30/01/2017
Águas de Santa Bárbara,Paralisada,Municipal,2099849.14,1413961.85,FORTPAV PAVIMENTAÇÃO E SERVIÇOS LTDA,00.637.923/0001-59,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,Mobilidade urbana - vias urbanas,23/05/2019,"Infraestrutura Urbana em Ruas e Avenidas (Pavimentação e Guias, Sarjetas e Galerias Pluviais) que levam a Lugares Turísticos da Cidade",Rua João Antonio do Amaral Alves,,24/06/2017
Águas de Santa Bárbara,Paralisada,Municipal,1186924.29,965902.84,EMPREITEIRA ROCHA LTDA-ME,11.034.894/0001-57,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,"Equipamento urbanos (praças, quadras e similares)",17/08/2018,Reforma e Adequação da Praça de Lazer,Praça Pe. Luiz Stefanelli,,27/01/2016
Agudos,Paralisada,Municipal,532905.65,558755.56,TRACON COMERCIO E CONSTRUÇÕES LTDA,50.542.513/0001-00,PREFEITURA MUNICIPAL DE AGUDOS,"Mobilidade urbana - Pontes, viadutos e similares",Não informado,Canalização de córrego à céu aberto com gabiões,Não informado,Não informado,01/08/2016
Agudos,Paralisada,Municipal,2846025.85,3201446.11,F. MOREIRA DOS SANTOS MATERIAIS DE CONSTRUÇÃO EPP,19.110.316/0001-64,PREFEITURA MUNICIPAL DE AGUDOS,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,Construção de Escola de Tempo Integral CONSTRUTOR ABANDONOU A OBRA ALEGANDO DIFICULDADES FINANCEIRAS. MUNICÍPIO ESTA REVISANDO PROJETO E ADEQUAÇÃO PARA LICITAR NOVAMENTE,Não informado,Não informado,09/08/2017
Agudos,Paralisada,Municipal,1130876.4,491092.29,CONSTRUBRASS CONSTRUTORA LTDA EPP,10.450.429/0001-34,PREFEITURA MUNICIPAL DE AGUDOS,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"Ampliação da Escola Maria Bataglin Delázari Construtora abandonou a obra, prefeitura rescindiu o contrato de modo unilateral. Foi elaborado revisão e compatibilização de projeto, atualização de preços e executado nova licitação, está em fase de assinatura de contrato.",Não informado,Não informado,07/01/2017
Agudos,Paralisada,Municipal,1757799.34,790803.46,MAGON CONSTRUTORA E INCORPORAÇÃO LTDA,14.529.183/0001-41,PREFEITURA MUNICIPAL DE AGUDOS,"Equipamento urbanos (praças, quadras e similares)",Não informado,Construção de um Ginásio de Esportes,Não informado,Não informado,01/06/2016
Agudos,Paralisada,Municipal,1011913.35,409469.72,TRACON COMERCIO E CONSTRUÇÕES LTDA,54.542.513/0001-00,PREFEITURA MUNICIPAL DE AGUDOS,"Equipamento urbanos (praças, quadras e similares)",Não informado,Construção de parte da arquibancada e vestiários do estádio de futebol contrato rescindido. Atualmente elaborando revisão de projeto e planilhas orçamentárias para nova licitação.,Não informado,Não informado,10/04/2016
Alambari,Paralisada,Municipal,238383.58,220543.28,VANGUARDA CONSTRUÇÕES E SERVIÇOS DE CONSERVAÇÃO VIÁRIA,38.848.107/0001-67,PREFEITURA MUNICIPAL DE ALAMBARI,Mobilidade urbana - vias urbanas,31/01/2017,"Drenagem, Pavimentação em Bloco de Concreto Sextavado e Meio Fio e Sarjeta de Concreto Moldada em local - Interligação da Av. Comendador Antônio Antunes  Alves com a Rua Dahyr Rachid - Rua Armando do Valle de Arruda Pereira - Bairro: Centro (LOTE II CT 1012114-19)",Rua Armando do Valle Pereira,"https://www.google.com.br/maps/@-23.5523706,-47896186.19z",18/11/2015
Alambari,Paralisada,Municipal,738104.92,578013.42,VANGUARDA CONSTRUÇÕES E SERVIÇOS DE CONSERVAÇÃO VIÁRIA,38.848.107/0001-67,PREFEITURA MUNICIPAL DE ALAMBARI,Mobilidade urbana - vias urbanas,31/01/2017,"Drenagem, Pavimentação em Bloco de Concreto Sextavado e Meio Fio e Sarjeta de Concreto Moldada em local - Interligação da Av. Comendador Antônio Antunes  Alves com a Rua Dahyr Rachid - Rua Armando do Valle de Arruda Pereira - Bairro: Centro.",Av. Comendador Antonio Antunes Alves,"https://www.google.com.br/maps/@-23.5523833,-478961819.18.53z",18/11/2015
Altair,Paralisada,Municipal,267507.52,170937.23,ALESSANDRA FONSCECA PEREIRA - ME,18.496.764/0001-86,PREFEITURA MUNICIPAL DE ALTAIR,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,"Centro de Convivência do Idoso. - C.C.I"".""",Não informado,Não informado,24/11/2016
Álvares Machado,Paralisada,Municipal,648993.56,610581.04,TERRALOC CONSTRUCOES TERRAP E LOCACOES LTDA EPP,14.851.369/0001-12,PREFEITURA MUNICIPAL DE ALVARES MACHADO,Edificações Administrativas Diversas,04/04/2017,Ampliação do Centro de Triagem - Coleta Seletiva Compensação Ambiental Acordo entre MPF MPE CESP,Não informado,Não informado,12/04/2017
Álvares Machado,Paralisada,Municipal,296010.54,272451.97,MJA CONSTRUÇÕES E ENGENHARIA EIRELI ME,16.571.033/0001-21,PREFEITURA MUNICIPAL DE ALVARES MACHADO,Habitação,28/07/2017,Obras de melhorias habitacionais em 20 (vinte) unidades no âmbito do Programa Desenvolvimento Urbano – Moradia Melhor,Não informado,Não informado,06/12/2016
Alvinlândia,Paralisada,Municipal,205844.44,65.03,OBRACRI EPP LTDA,11.809.435/0001-06,PREFEITURA MUNICIPAL DE ALVINLANDIA,"Equipamento urbanos (praças, quadras e similares)",Não informado,REVITALIZAÇÃO DA PRAÇA DA MATRIZ,Não informado,Não informado,01/11/2017
Alvinlândia,Paralisada,Municipal,508383.4,355868.38,SILMARA APARECIDA INACIO POLCELLI CONSTRUTORA – EPP,10.587.022/0001-53,PREFEITURA MUNICIPAL DE ALVINLANDIA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DA QUADRA COBERTA,Não informado,Não informado,24/11/2015
Americana,Paralisada,Municipal,1444256.18,0,CONAJ EMPREENDIMENTOS E CONSTRUÇÕES LTDA,00.478.324/2000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DA CRECHE E PRÉ ESCOLA NO BAIRRO SANTO ANTONIO,Não informado,Não informado,10/03/2013
Americana,Paralisada,Municipal,1765916.39,0,MIL & SETE CONSTRUTORA LTDA,00.691.691/3000-13,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UPA NO BAIRRO PRAIA AZUL,Não informado,Não informado,22/08/2014
Americana,Paralisada,Municipal,202598.28,0,MIL & SETE CONSTRUTORA LTDA,00.691.691/3000-13,PREFEITURA MUNICIPAL DE AMERICANA,"Equipamento urbanos (praças, quadras e similares)",Não informado,CONSTRUÇÃO ACADEMIA NO JARDIM BOTANICO,Não informado,Não informado,31/10/2014
Americana,Paralisada,Municipal,594677.3,0,H LOPES SERVIÇOS & CONSTRUÇÕES EIRELI EPP,01.148.538/3000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UBS NO BAIRRO VILA BELA,Não informado,Não informado,30/05/2013
Americana,Paralisada,Municipal,520545.11,0,H LOPES SERVIÇOS & CONSTRUÇÕES EIRELI EPP,01.148.538/3000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UBS N BAIRRO JARDIM DOS LÍRIOS,Não informado,Não informado,30/03/2014
Americana,Paralisada,Municipal,81771.88,0,H LOPES SERVIÇOS & CONSTRUÇÕES EIRELI EPP,01.148.538/3000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,AMPLIAÇÃO DA ESF DO BAIRRO MARIO COVAS,Não informado,Não informado,18/01/2014
Americana,Paralisada,Municipal,1912985.59,0,MIL & SETE CONSTRUTORA LTDA,00.691.691/3000-13,PREFEITURA MUNICIPAL DE AMERICANA,"Equipamento urbanos (praças, quadras e similares)",Não informado,PRAÇA DO PAC NO JARDIM DA BALSA,Não informado,Não informado,23/08/2014
Americana,Paralisada,Municipal,553598.93,0,H LOPES SERVIÇOS & CONSTRUÇÕES EIRELI EPP,01.148.538/3000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UBS NO BAIRRO VILA BERTINE,Não informado,Não informado,30/09/2013
Americana,Paralisada,Municipal,258487.07,8889.77,CONTISA CONTRUÇÕES E COMÉRCIO EIRELI EPP,01.794.836/2000-10,PREFEITURA MUNICIPAL DE AMERICANA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,REFORMA DA EMEI SABIA,Não informado,Não informado,01/10/2018
Americana,Paralisada,Municipal,2083533.81,0,CONAJ EMPREENDIMENTOS E CONSTRUÇÕES LTDA,00.478.324/2000-15,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UPA NO BAIRRO DONA ROSA,Não informado,Não informado,31/12/2014
Americana,Paralisada,Municipal,544744.96,0,H LOPES SERVIÇOS & CONSTRUÇÕES EIRELI EPP,45.781.176/0001-66,PREFEITURA MUNICIPAL DE AMERICANA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO UBS NO BAIRRO PHILIPSON PARK,Não informado,Não informado,30/09/2013
Americana,Paralisada,Municipal,304331.67,5570.53,CONTISA CONTRUÇÕES E COMÉRCIO EIRELI EPP,01.794.836/2000-10,PREFEITURA MUNICIPAL DE AMERICANA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,REFORMA DA EMEI INDAIA,Não informado,Não informado,06/09/2018
Americana,Paralisada,Municipal,1909811.42,0,MPS SERVIÇOS EM CONSTRUÇÃO CIVIL LTDA,01.132.878/5000-14,PREFEITURA MUNICIPAL DE AMERICANA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DA CRECHE E PRÉ ESCOLA NO BAIRRO PHILIPSON PARK,Não informado,Não informado,10/03/2013
Americana,Paralisada,Municipal,349128.39,0,PANTEON ENGENHARIA COMERCIO E CONSTRUCOES LTDA ,51.320.935/0001-96,PREFEITURA MUNICIPAL DE AMERICANA,Mobilidade urbana - vias urbanas,Não informado,Implantação de Calçamento  Podotátil,Não informado,Não informado,27/09/2011
Americana,Paralisada,Municipal,2456192.35,0,BASEPLAN CONSTRUTORA LTDA EPP,00.798.836/7000-10,PREFEITURA MUNICIPAL DE AMERICANA,Mobilidade urbana - vias urbanas,Não informado,Revitalização da Orla da Praia dos Namorados,Não informado,Não informado,31/07/2017
Americana,Paralisada,Municipal,3169063.83,0,MB ENGENHARIA E MEIO AMBIENTE LTDA,00.126.468/0001-27,PREFEITURA MUNICIPAL DE AMERICANA,"Equipamento urbanos (praças, quadras e similares)",Não informado,RECUPERAÇÃO DA GRUTA DAINESE 1º ETAPA,Não informado,Não informado,24/12/2011
Américo de Campos,Paralisada,Municipal,235075.33,0,BMS CONSTRUÇÕES E COMÉRCIO RIO PRETO - EIRELLI,05.615.940/0001-09,PREFEITURA MUNICIPAL DE AMERICO DE CAMPOS,"Equipamento urbanos (praças, quadras e similares)",11/01/2019,Construção do Centro de Convivência do Idoso,Rua Otávio Guedes da Silveira esquina com a Rua Luis de Almeida Rolo,,18/04/2019
Américo de Campos,Paralisada,Municipal,1551200,28291.12,NOROMIX CONCRETO LTDA,10.558.895/0001-38,PREFEITURA MUNICIPAL DE AMERICO DE CAMPOS,Mobilidade urbana - vias urbanas,Não informado,Obra de Recapeamento Asfáltico em Ruas do Município de Américo de Campos,Não informado,Não informado,19/03/2019
Amparo,Paralisada,Estadual,3795620,79150.2,CONSTRUTORA VIASOL LTDA - EPP,12.049.132/0001-97,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,31/01/2019,CH Amparo D - cont. 203/18 Execução de Obras e serviços de engenharia para a realização do empreendimento composto por 38 UHs sendo 1 edificio tipo CH Amparo D - V 052Q-02 CAC 18 AP e  1 EDIFICIO TIPO CH AMPARO D - V052Q-02.,Não informado,Não informado,18/09/2020
Analândia,Paralisada,Municipal,237421.37,106699.16,MIRIAM BUENO TERASSI CONSTRUÇÃO ME,57.114.050/0001-17,PREFEITURA MUNICIPAL DE ANALANDIA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Construção de uma Praça,Não informado,Não informado,01/12/2016
Andradina,Paralisada,Municipal,2637047.63,410846.18,ROBERTO JORGE GARCIA EPP,06.250.981/0001-01,PREFEITURA MUNICIPAL DE ANDRADINA,"Equipamento urbanos (praças, quadras e similares)",Não informado,"CONSTRUÇÃO DE UMA PISCINA OLIMPICA,",Não informado,Não informado,11/03/2017
Andradina,Paralisada,Municipal,32662395.46,29926916.81,ENGENHARIA E COMERCIO BANDEIRANTES LTDA,59.598.029/0001-60,PREFEITURA MUNICIPAL DE ANDRADINA,Mobilidade urbana - vias urbanas,Não informado,CONCORRÊNCIA PÚBLICA 02/2014 - PAC 2 - OBRAS DE DRENAGEM E PAVIMENTAÇÃO. O PROCESSO ENCONTRA-SE EM REPROGRAMAÇÃO JUNTO AO AGENTE TÉCNICO CEF DE PRESIDENTE PRUDENTE DESDE JUNHO / 2018. CONTRATO DE CONVENIO 399.995-55/2012,Não informado,Não informado,05/06/2016
Angatuba,Paralisada,Estadual,127410.11,114613.67,SP ENGE CONSTRUTORA LTDA,06.117.336/0001-15,TRIBUNAL DE JUSTICA DO ESTADO DE SAO PAULO - TJ SP,Energia - distribuição (rede interna urbana e similares),Não informado,Reforma das instalações elétricas da edificação do Fórum da Comarca de Angatuba.\n,Não informado,Não informado,30/07/2018
Anhembi,Paralisada,Municipal,1429688.36,477942.38,NEEC CONSTRUTORA LTDA,00.866.904/0001-02,PREFEITURA MUNICIPAL DE ANHEMBI,"Equipamento urbanos (praças, quadras e similares)",Não informado,"Construção do frigorifico do pescado, fornecimento de material e mao de obra para a conclusao da unidade de beneficiamento do pescado",Não informado,Não informado,06/07/2014
Anhembi,Paralisada,Municipal,471846.67,200441.34,NEGRÃO & NEGRÃO CONSTRTURA LTDA EPP ,04.222.961/0001-00,PREFEITURA MUNICIPAL DE ANHEMBI,"Equipamento urbanos (praças, quadras e similares)",Não informado,"reforma e ampliação de um centro comunitário, localizado na avenida faria lima, foi prevista a ampliação do centro e reforma do mesmo, desde telhado, ate instalações elétricas, hidráulicas, troca de revestimentos e pintura.",Não informado,Não informado,06/01/2014
Anhembi,Paralisada,Estadual,17374382.03,1638906.22,ÔNIX CONSTRUÇÕES S/A,07.807.573/0001-70,DEPARTAMENTO HIDROVIARIO - SECRETARIA DE LOGISTICA E TRANSPORTES,Transporte - Hidrovias,Não informado,execução de serviço de dragagem de manutenção entre os km 72 e 89 da rota de navegação no rio Tietê do reservatório de Barra Bonita,Não informado,Não informado,13/01/2015
