pct,contratada,classificacao,municipio_nome
3051.68,ENGENIL DE NIPOÃ CONSTRUTORA LTDA,Habitação,Tanabi
212.67,CONSTRUTORA JOLI LTDA-ME ,"Educação - Universidades, Faculdades, Escolas e similares",Taquaritinga
199.98,A OBRA - CONSTRUÇÕES E REFORMAS LTDA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",São Vicente
152.28, CONSTRUTORA CVS S/A ,"Educação - Universidades, Faculdades, Escolas e similares",São Paulo
146.53,"VEDOS ARQUITETURA, CONSTRUÇÕES E EMPREENDIMENTOS LTDA.","Educação - Universidades, Faculdades, Escolas e similares",São Paulo
142.41,BOMBARDIER CONSORTIUM,Transporte - Ferrovias,São Paulo
137.68,LOCMAQ LOCAÇÃO DE EQUIPAMENTOS LTDA ME,Edificações Administrativas Diversas,Atibaia
136.6,SERVENG CIVILSAN S/A EMPRESAS ASSOCIADAS DE ENGENHARIA,Transporte - Rodovias,Caraguatatuba
136.52,SIRLEI BERTAGLIA MANOEL ME,"Equipamento urbanos (praças, quadras e similares)",Tupã
130.01,B ESSE CONSTRUTORA EIRELI,Habitação,Itirapina
128.44,LEMAM CONSTRUÇÕES E COMÉRCIO S/A,Habitação,Guarujá
127.11,CONSTRUTORA E INCORPORADORA BEIRA MAR LTDA.,"Equipamento urbanos (praças, quadras e similares)",Guarujá
124.89,DP BARROS - PAVIMENTAÇÃO E CONSTRUÇÃO LTDA,"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",Cerqueira César
124.4,SIMETRICA ENGENHARIA LTDA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",São Paulo
124.04,CONSÓRCIO TRAÇÃO MONORAIL LINHA VERDE,Transporte - Ferrovias,São Paulo
122.46,JABRIEL PROJETOS E CONSTRUÇÕES EIRELLI ME,"Equipamento urbanos (praças, quadras e similares)",Boituva
122.1,NÃO POSSUI CONTRATO EM VIGÊNCIA,Habitação,Colina
122.03,CONSTRUTORA EMA DO VALE EIRELLI,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Aparecida
121.53,WISDOM – CONSTRUTORA E MONTAGEM LTDA.,"Educação - Universidades, Faculdades, Escolas e similares",Rio Claro
120.52,CONSTRUTORA PAIVA NOGUEIRA LTDA,"Educação - Universidades, Faculdades, Escolas e similares",Carapicuíba
120.41,INCORPLAN ENGENHARIA LTDA.,Habitação,São Paulo
119.67,CONSTRUTORA JULIO & JULIO LTDA,Mobilidade urbana - vias urbanas,Tatuí
118.79,SOROBASE ENGENHARIA E CONSTRUÇÃO LTDA,"Educação - Universidades, Faculdades, Escolas e similares",Sarapuí
118.75,SERTENGE CONSTRUTORA LTDA.,"Educação - Universidades, Faculdades, Escolas e similares",Sumaré
118.41,TECNOBRASIL CONSTRUÇÕES E MULTISERVIÇOS LTDA - ME,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Itanhaém
118.22,CONSÓRCIO LINHA 17 - OURO,Transporte - Ferrovias,São Paulo
117.46,ENGEBASE CONSTRUÇÃO E GERENCIAMENTO LTDA,Habitação,Ilhabela
116.45,VODAOIL SERVIÇOS DE PETRÓLEO LTDA. EPP.,"Abastecimento de água - Captação, Adução, Tratamento e similares",Taquaritinga
116.26,PRELCAN CONSTRUÇÃO E COMÉRCIO LTDA - EPP,Habitação,São José do Rio Preto
115.92,BEKAELY EMPREENDIMENTOS E COMÉRCIO LTDA - ME,"Educação - Universidades, Faculdades, Escolas e similares",Taiaçu
