Classificação,Obras não-entregues
"Educação - Universidades, Faculdades, Escolas e similares",343
"Equipamento urbanos (praças, quadras e similares)",341
Mobilidade urbana - vias urbanas,258
"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",175
Habitação,111
"Abastecimento de água - Captação, Adução, Tratamento e similares",46
Transporte - Ferrovias,46
"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",45
Outros,41
"Mobilidade urbana - Pontes, viadutos e similares",36
"Segurança pública (Delegacias, penitenciárias e similares)",33
Infraestrutura Urbana - Urbanização,28
Transporte - Rodovias,24
Energia - distribuição (rede interna urbana e similares),11
Infraestrutura Turística,9
Edificações Administrativas Diversas,8
Abastecimento de água - Canais,5
Transporte - Hidrovias,5
Abastecimento de água - Barragens,3
Mobilidade urbana - Terminais,3
Recursos Hídricos - Canais,3
Saneamento,3
Transporte - Estações Ferroviárias,3
Macro drenagem - Canais e Rios,2
Monumentos Históricos,2
Rede de Drenagem de águas pluviais,2
Energia - combustíveis e derivados,1
Energia - transmissão (subestações e linhas de transmissão),1
"Mobilidade urbana - VLT, BRT",1
Transporte - Estações Rodoviárias,1
